date, pm25
21/3/2023,151
22/3/2023,155
23/3/2023,157
24/3/2023,157
25/3/2023,174
26/3/2023,185
27/3/2023,181
28/3/2023,167
29/3/2023,215
30/3/2023,207
31/3/2023,245
1/10/2022,37
2/10/2022,38
3/10/2022,42
4/10/2022,38
5/10/2022,47
6/10/2022,55
7/10/2022,55
8/10/2022,50
9/10/2022,53
10/10/2022,48
11/10/2022,50
12/10/2022,62
13/10/2022,64
14/10/2022,63
15/10/2022,66
16/10/2022,79
17/10/2022,95
18/10/2022,95
19/10/2022,82
20/10/2022,85
21/10/2022,85
22/10/2022,64
23/10/2022,56
24/10/2022,74
25/10/2022,101
26/10/2022,90
27/10/2022,78
28/10/2022,65
29/10/2022,66
30/10/2022,71
31/10/2022,79
1/11/2022,83
2/11/2022,85
3/11/2022,82
4/11/2022,80
5/11/2022,85
6/11/2022,86
7/11/2022,86
8/11/2022,90
9/11/2022,98
10/11/2022,92
11/11/2022,83
12/11/2022,87
13/11/2022,79
14/11/2022,75
15/11/2022,69
16/11/2022,60
17/11/2022,55
18/11/2022,58
19/11/2022,60
20/11/2022,65
21/11/2022,63
22/11/2022,67
23/11/2022,61
24/11/2022,74
25/11/2022,67
26/11/2022,68
27/11/2022,65
28/11/2022,65
29/11/2022,61
30/11/2022,63
1/12/2022,60
2/12/2022,60
3/12/2022,57
4/12/2022,64
5/12/2022,53
6/12/2022,63
7/12/2022,65
8/12/2022,66
9/12/2022,68
10/12/2022,69
11/12/2022,45
12/12/2022,66
13/12/2022,82
14/12/2022,89
15/12/2022,99
16/12/2022,104
17/12/2022,99
18/12/2022,95
19/12/2022,84
20/12/2022,100
21/12/2022,113
22/12/2022,103
23/12/2022,95
24/12/2022,107
25/12/2022,122
26/12/2022,107
27/12/2022,100
28/12/2022,99
29/12/2022,104
30/12/2022,98
31/12/2022,93
1/1/2023,99
1/7/2022,44
2/7/2022,47
3/7/2022,46
4/7/2022,46
5/7/2022,45
6/7/2022,44
7/7/2022,38
8/7/2022,45
9/7/2022,43
10/7/2022,44
11/7/2022,47
12/7/2022,42
13/7/2022,50
14/7/2022,43
15/7/2022,42
16/7/2022,46
17/7/2022,46
18/7/2022,52
19/7/2022,62
20/7/2022,49
21/7/2022,49
22/7/2022,41
23/7/2022,31
24/7/2022,35
25/7/2022,48
26/7/2022,54
27/7/2022,58
28/7/2022,61
29/7/2022,64
30/7/2022,70
31/7/2022,40
1/8/2022,51
2/8/2022,50
3/8/2022,35
4/8/2022,36
5/8/2022,46
6/8/2022,39
7/8/2022,41
8/8/2022,39
9/8/2022,34
10/8/2022,43
11/8/2022,44
12/8/2022,41
13/8/2022,38
14/8/2022,48
15/8/2022,50
16/8/2022,39
17/8/2022,41
18/8/2022,45
19/8/2022,51
20/8/2022,59
21/8/2022,60
22/8/2022,49
23/8/2022,26
24/8/2022,51
25/8/2022,52
26/8/2022,60
27/8/2022,46
28/8/2022,47
29/8/2022,60
30/8/2022,62
31/8/2022,62
1/9/2022,61
2/9/2022,63
3/9/2022,63
4/9/2022,57
5/9/2022,59
6/9/2022,55
7/9/2022,60
8/9/2022,87
9/9/2022,48
10/9/2022,42
11/9/2022,41
12/9/2022,47
13/9/2022,50
14/9/2022,48
15/9/2022,46
16/9/2022,46
17/9/2022,44
18/9/2022,44
19/9/2022,42
20/9/2022,51
21/9/2022,49
22/9/2022,57
23/9/2022,53
24/9/2022,46
25/9/2022,40
26/9/2022,38
27/9/2022,42
28/9/2022,62
29/9/2022,72
30/9/2022,63
1/4/2022,129
2/4/2022,64
3/4/2022,47
4/4/2022,68
5/4/2022,95
6/4/2022,112
7/4/2022,142
8/4/2022,156
9/4/2022,159
10/4/2022,133
11/4/2022,131
12/4/2022,139
13/4/2022,152
14/4/2022,160
15/4/2022,143
16/4/2022,149
17/4/2022,148
18/4/2022,122
19/4/2022,65
20/4/2022,72
21/4/2022,70
22/4/2022,90
23/4/2022,100
24/4/2022,108
25/4/2022,113
26/4/2022,128
27/4/2022,116
28/4/2022,144
29/4/2022,102
30/4/2022,102
1/5/2022,82
2/5/2022,74
3/5/2022,67
4/5/2022,80
5/5/2022,96
6/5/2022,92
7/5/2022,49
8/5/2022,47
9/5/2022,45
10/5/2022,50
11/5/2022,39
12/5/2022,47
13/5/2022,69
14/5/2022,62
15/5/2022,67
16/5/2022,70
17/5/2022,59
18/5/2022,50
19/5/2022,50
20/5/2022,49
21/5/2022,40
22/5/2022,63
23/5/2022,73
24/5/2022,56
25/5/2022,66
26/5/2022,84
27/5/2022,77
28/5/2022,85
29/5/2022,84
30/5/2022,82
31/5/2022,71
1/6/2022,61
2/6/2022,70
3/6/2022,72
4/6/2022,52
5/6/2022,46
6/6/2022,48
7/6/2022,44
8/6/2022,41
9/6/2022,50
10/6/2022,61
11/6/2022,60
12/6/2022,55
13/6/2022,64
14/6/2022,77
15/6/2022,72
16/6/2022,62
17/6/2022,51
18/6/2022,48
19/6/2022,54
20/6/2022,50
21/6/2022,44
22/6/2022,49
23/6/2022,51
